Category,Subcategory,Stakeholders,Idea
Macro,Community Building,All,OER-ganizational openness
Macro,Community Building,All,Create an OER working group for outreach
Micro,Accessibility,Learner,OER textbooks to make it affordable and accessible
Macro,Community Building,Learner,Organizing students to spread the word
Macro,Policy,Learner,Openness in public policy
Meso,Copyright & Licensing,Builder,Clarifying intellectual property rights
Macro,Community Building,Builder,How to better engage educators
Micro,Accessibility,Builder,Crowd-sourced translation services for accessibility
Macro,Policy,Builder,Build policy to make OER adoptable at scale
Macro,Community Building,Builder,Begin a conversation about how we fund fully adaptive OER
Micro,Accessibility,Builder,Findability of OER
Research & Metrics,Feedback,Builder,Learning analytics based on feedback loop
Micro,Teaching & Learning,Builder,Teacher customization
Macro,Policy,Builder,Supporting new business models
Research & Metrics,Quality Control,Learner,Editorial rigor
Micro,Accessibility,Learner,Discoverability of OER
Macro,Community Building,Learner,Support and maintenance
Micro,Accessibility,Facilitator,"Translation, curating resources"
Micro,Teaching & Learning,Builder,Better distribution targeted at faculty
Research & Metrics,Assessment,Builder,Peer review process
Research & Metrics,Quality Control,Builder,"Clear guidelines for classification, user feedback, etc."
Macro,Community Building,Facilitator,Understanding the landscape
Research & Metrics,Assessment,Facilitator,Measuring the impact
Macro,Community Building,Facilitator,Understanding the academic needs
Meso,Tools & Technology,"Facilitator, Builder",Technical and design interoperability
Macro,Policy,"Facilitator, Builder",How can OER be a viable political message?
Macro,Community Building,"Facilitator, Builder",How can we get schools to adopt OER?
Macro,Community Building,Builder,Encouraging co-usage around the world
Research & Metrics,Quality Control,Builder,Encouraging the creation of locally quality-assured OER repositories
Micro,Teaching & Learning,Builder,Matching the needs of users with the contents of OER
Macro,Policy,Builder,Adoption of OER policy by institutions
Macro,Community Building,Builder,Sharing stories of collaborators who are building OER
Research & Metrics,Assessment,Builder,Evaluation of the use of OER in institutions
Micro,Teaching & Learning,All,Teachers materials
Micro,Accessibility,All,Childrens' books in local language
Micro,Teaching & Learning,All,Guidelines and materials for school administrators
Research & Metrics,Assessment,Facilitator,Measuring the impact
Research & Metrics,Assessment,Facilitator,Build in feedback loops
Micro,Accessibility,Facilitator,Who has access to these materials? Pay attention to equity
Research & Metrics,Assessment,All,"Assessment, accountability, badges"
Meso,Tools & Technology,All,Open source by design
Micro,Accessibility,All,Modularity
Meso,Tools & Technology,"Facilitator, Builder",Open data sharing from different OER repositories
Meso,Tools & Technology,"Facilitator, Builder",Better infrastructure for tracking remixes
Meso,Tools & Technology,"Facilitator, Builder",Mobile distribution of content
Macro,Policy,Facilitator,Support policyto enable OER to scale
Micro,Teaching & Learning,Facilitator,Fill gaps in K-12 curriculum
Micro,Teaching & Learning,Facilitator,Professional development of school administrators
Meso,Tools & Technology,"Learner, Builder","User-friendly design, features"
Micro,Teaching & Learning,"Learner, Builder",Promote self-study 
Micro,Accessibility,"Learner, Builder",Contextualization for audiences in the developing countries
Micro,Teaching & Learning,All,Professional development for teachers in sub-Saharan Africa
Micro,Accessibility,All,Repackaging OER to make them accessible to teachers who are just beginning to use them
Macro,Community Building,All,Increasing the joined-up thinking
Macro,Policy,Facilitator,Facilitate proper regulation and funding
Meso,Tools & Technology,Facilitator,Educational tools based on local society
Macro,Policy,Facilitator,"Committ national governments, major funders and donor countries to assure development of independent educational system"
Macro,Policy,Facilitator,Build strong relationships between governments and OER producers
Macro,Community Building,Facilitator,Focus on communities
Micro,Teaching & Learning,Facilitator,Focus on certification
Macro,Policy,Facilitator,Importance of national policy to mainstream OER
Macro,Policy,Facilitator,Foster business models based on services around OER
Micro,Teaching & Learning,Facilitator,Start a global OER Graduate School
Macro,Community Building,Builder,"Encourage faculty to co-develop OER with researchers, developers"
Micro,Teaching & Learning,Builder,Using OER for reiterating and sharing teaching practices
Macro,Community Building,Builder,Work on partnerships with publishers
Micro,Teaching & Learning,Builder,Open professional development for teachers
Macro,Community Building,Builder,Professional development networks
Macro,Community Building,Builder,Collaborative authoring
Research & Metrics,Assessment,"Facilitator, Builder",Engendering different types of assessment
Research & Metrics,Quality Control,"Facilitator, Builder",Category-based peer reviews by volunteers (a la Wikipedia style)
Macro,Community Building,"Facilitator, Builder",Unite different organizations producing similarcontent
Meso,Tools & Technology,All,"Create open source enterprise media management system to allow easy editing, creation and distribution"
Meso,Tools & Technology,All,Better standards for OER metadata to improve search results
Meso,Tools & Technology,All,Improved features and tools to allow more meaningful interaction with content
Macro,Community Building,All,"Creation of direct partnerships between learners, employers, and accreditation agencies for job creation"
Research & Metrics,Assessment,All,Development of robust assessment mechanism that testify to OER quality
Meso,Tools & Technology,All,OER delivery systems that live at the browser level/fit into existing LMS systems
Macro,Policy,Facilitator,Policy reform from the edge (external forces such as P2PU) and from the core (internal forces within governments & institutions)
Macro,Community Building,Facilitator,Strengthen the sense of shared purpose among OER practitioners
Research & Metrics,Quality Control,Facilitator,Improve the consistency and thoroughness of coverage of OER
Research & Metrics,Assessment,Facilitator,Provide opportunities for small-scale experimentation with OER with noticeable results
Macro,Community Building,Learner,Need to pay attention to the  audience
Research & Metrics,Quality Control,Learner,"OER must be of exemplary quality, drawing on latest research"
Macro,Community Building,Learner,OER will benefit from being well-connected to things our audience are interested in
