Category,Subcategory,Stakeholders,Idea
Macro,Community Building,Learner,Organizing students to spread the word
Micro,"Guidance, Training & Maintenance",Learner,Support and maintenance
Macro,Policy,Learner,Openness in public policy
Meso,Quality Control,Learner,Editorial rigor
Meso,Search & Discoverability,Learner,Discoverability of OER
Research,Assessment,Learner,Need for assessment that go beyond contents
Macro,Community Building,Learner,Increasing collaboration and communication among all members 
Macro,Community Building,Learner,Shifting the default settings on education from privileged privacy to free and open access for all
Macro,Community Building,Learner,Need for role models
Micro,"Guidance, Training & Maintenance",Learner,Training for educators
Meso,Tools & Technology,Learner,Creating a platform for students voice in open education
Meso,Accessibility,"Learner, Facilitator",Allow emerging countries better access and participation
Meso,Accreditation,"Learner, Facilitator",Allow for study time credit/diploma/certificate
Macro,Copyright & Licensing,"Learner, Facilitator",Modify and provide clarity around various licensing parameters around OER
